n,burbuja,quick,insertion,merge
896,619300,32400,32100,59200
897,598100,33500,32800,84200
898,585700,33400,32100,83400
899,588200,33700,29400,59800
900,595100,32900,30100,59100
901,608700,31800,32000,62000
902,619600,33000,29100,68600
903,634800,31900,28200,109600
904,637800,38300,36300,62600
905,611400,33300,33400,62000
906,601200,33900,30100,60900
907,618400,32500,28600,59700
908,602000,32700,29300,61400
909,614300,32600,29300,62300
910,617700,34700,30500,61900
911,636100,33400,29900,62300
912,599600,32500,29200,60000
913,619000,43300,42800,65600
914,612400,34200,29800,70400
915,630100,33600,33100,61400
916,633700,33400,33100,60500
917,635000,33300,32800,94700
918,736200,35600,40800,62100
919,611800,34400,34000,63600
920,628100,34100,32400,62500
921,623100,34000,42200,89300
922,632100,34000,30500,62800
923,624000,33900,30400,104800
924,635900,34400,34700,63500
925,631400,34100,34100,85800
926,680500,34100,29800,67100
927,633600,33700,30100,62400
928,632700,34400,34000,64600
929,625200,34000,33700,62300
930,638200,32500,33800,62300
931,635300,33700,36700,63200
932,632700,34200,33300,62100
933,646300,60100,42300,63800
934,634800,34200,34100,67900
935,639500,33500,32800,62200
936,637000,34400,33600,63600
937,651200,34400,29800,62500
938,650400,34300,31700,69300
939,643300,34700,31300,68200
940,652200,34800,40300,78600
941,655500,35600,31300,63700
942,650700,34300,34700,62600
943,652000,34600,35000,62500
944,654600,33600,34100,63400
945,638700,34300,30400,63700
946,696400,34600,48000,63800
947,663300,34200,39400,109000
948,703600,55700,34500,63500
949,663900,34000,30100,63000
950,661000,35100,31700,64200
951,665700,39000,42500,77900
952,662200,35400,45300,68300
953,666000,38700,34800,64700
954,664700,34800,39600,110300
955,669200,43800,34700,64400
956,678200,35300,30700,64500
957,674300,35700,32000,64000
958,708700,35800,34400,64600
959,696800,33100,30700,78600
960,699700,36000,46800,64000
961,686200,37000,34200,69100
962,828400,36300,31500,108900
963,684500,35000,34700,65000
964,668100,35000,34500,70600
965,685900,36100,40100,75100
966,706900,36900,35500,65700
967,711200,33500,34500,72900
968,675500,35100,35100,101500
969,672500,36600,38800,66200
970,683200,37100,35200,64600
971,700100,34900,34600,67000
972,679200,37100,31600,65300
973,702300,35800,39500,66200
974,685000,36200,36200,64900
975,685000,35100,35500,66900
976,700500,36300,45700,66100
977,695300,36000,32700,64800
978,705900,37900,35400,64700
979,696500,35400,35400,63900
980,695200,36200,32800,66900
981,698100,35900,31600,65100
982,720000,36500,36300,88700
983,779500,37200,36100,68100
984,731900,35800,32500,73300
985,701700,35800,35400,84700
986,695400,35100,35800,83900
987,704900,35800,36000,91700
988,699000,35500,34700,90500
989,814400,41100,37100,89600
990,714200,36100,35400,99800
991,715100,37900,36300,93400
992,702400,35700,31400,80900
993,694600,35200,35200,67000
994,715400,36600,33000,66700
995,706800,36700,33400,66800
996,776500,38700,35800,71100
