n,burbuja_promedio,burbuja_mejor,burbuja_peor,quick_promedio,quick_mejor,quick_peor,insertion_promedio,insertion_mejor,insertion_peor,merge_promedio,merge_mejor,merge_peor
263,65400,100,43300,9600,12200,14100,5900,600,10200,15000,6900,9600
264,64000,100,43800,10600,12400,13600,5700,300,10100,15200,7100,9400
265,58000,200,44500,9500,12800,15000,6200,300,10300,24000,13800,15400
266,67800,200,44300,9300,11800,14000,20900,300,10100,20000,7900,10000
267,57500,100,44900,9800,12600,14700,6600,300,10300,20100,7800,9400
268,66000,200,44900,9400,12100,13800,6400,300,10300,19100,8100,10100
269,63500,100,45400,10200,13300,14800,7300,300,10500,28300,9500,10500
270,64700,100,45800,11400,11600,12900,6700,400,10300,21100,8200,9600
271,64800,200,46300,10200,18000,14800,6100,400,11800,21800,7900,9900
272,64900,200,46100,9600,13000,13800,6500,400,26600,36300,7300,9200
273,75200,200,46500,9800,14600,15100,7200,300,11400,22500,8000,14400
274,66600,200,47100,10500,13200,14600,7000,300,11200,15700,7900,12300
275,63800,200,46900,9900,13400,14700,6300,400,10700,15600,7400,12500
276,67200,100,47600,10200,13200,15400,6600,300,10800,17800,7900,13400
277,70900,400,48000,9700,13700,14800,6800,300,11000,16500,8200,10000
278,70000,100,48100,10100,13000,16400,6600,300,11200,17300,13300,10300
279,68900,100,48700,9900,13700,16400,10500,300,11100,16600,12700,10000
280,69100,200,49500,11100,13700,15500,7200,400,11500,20600,12800,15800
281,87100,200,49500,12400,13300,16500,6900,900,11300,23100,8200,21700
282,88500,300,58300,14900,22900,22400,10100,500,11700,25500,8200,13700
283,71300,200,49800,10600,13300,15900,7100,300,11400,21700,8100,10100
284,79400,100,50200,10200,14800,14600,6600,300,11400,20700,8000,18800
285,65700,200,51200,10400,14000,16600,6600,300,11400,16500,7600,17900
286,71100,100,51200,9800,13200,15600,6600,500,11900,18800,8600,10600
287,65200,200,51800,11600,13700,17300,7500,300,11700,16700,11700,9500
288,70200,100,51800,10900,14600,16000,7000,300,11700,16300,11000,9800
289,71300,200,52400,11000,13100,15300,7000,300,11600,16600,7900,10800
290,74400,100,52300,10600,19000,16100,8400,300,12000,25100,8300,10600
291,79800,200,52800,11800,13900,15900,7100,300,12600,25700,8600,13800
292,69600,100,53600,11100,13700,14900,7500,300,12600,18800,8300,16100
293,72000,200,54300,10800,18200,19900,7200,300,12600,18400,8200,10900
